transect,meter,eiseni?,total # eiseni
2,1,1,3
2,2,1,2
2,4,0,0
2,5,1,1
2,6,1,5
2,7,1,2
2,8,1,2
2,9,1,13
2,10,1,3
2,11,0,0
2,12,0,0
2,13,1,4
2,17,1,1
2,19,1,1
2,20,1,2
2,21,1,3
2,23,0,0
2,24,0,0
2,25,0,0
2,26,0,0
2,27,0,0
2,28,1,1
2,29,0,0
2,30,0,0
3,1,1,1
3,2,1,2
3,3,0,0
3,4,1,8
3,5,1,1
3,6,0,0
3,7,0,0
3,8,1,2
3,9,1,4
3,10,0,0
3,11,1,1
3,12,0,0
3,13,0,0
3,16,1,1
3,17,0,0
3,18,1,1
3,19,0,0
3,20,0,0
3,21,1,1
3,22,0,0
3,24,0,0
3,25,0,0
3,26,0,0
3,27,0,0
3,28,0,0
3,29,0,0
3,30,0,0
