FileName,run,run_id,umol.L.sec,Intercept,Temp.C
RW_PI_16_1_20240617_O2,0,RW_PI_16_1_20240617_O2_0,-0.00402000938086302,220.09037666979356,14.981607142857143
RW_PI_16_1_20240617_O2,100,RW_PI_16_1_20240617_O2_100,0.003697987012986958,214.78604140692644,15.243588235294117
RW_PI_16_1_20240617_O2,150,RW_PI_16_1_20240617_O2_150,0.007056195773081214,217.39211369670002,15.422064516129032
RW_PI_16_1_20240617_O2,200,RW_PI_16_1_20240617_O2_200,0.013029285714285747,221.48861357142852,15.583258064516128
RW_PI_16_1_20240617_O2,260,RW_PI_16_1_20240617_O2_260,0.01698043240284631,229.15808552271477,15.739387096774193
RW_PI_16_1_20240617_O2,350,RW_PI_16_1_20240617_O2_350,0.022675196581196506,239.0817446324787,15.892064516129032
RW_PI_16_1_20240617_O2,450,RW_PI_16_1_20240617_O2_450,0.02667717391304325,252.5565655797103,15.963290322580646
RW_PI_16_1_20240617_O2,600,RW_PI_16_1_20240617_O2_600,0.030322865353037902,268.5440531609194,15.963354838709677
RW_PI_16_1_20240617_O2,800,RW_PI_16_1_20240617_O2_800,0.0339753246753248,286.6992851795262,16.02
RW_PI_16_2_20240617_O2,0,RW_PI_16_2_20240617_O2_0,-0.0046309620721554775,210.6566476133211,15.084178571428572
RW_PI_16_2_20240617_O2,100,RW_PI_16_2_20240617_O2_100,0.008051466165413695,203.67119740601493,15.33235294117647
RW_PI_16_2_20240617_O2,150,RW_PI_16_2_20240617_O2_150,0.014049769230769137,208.82858869230776,15.514483870967743
RW_PI_16_2_20240617_O2,200,RW_PI_16_2_20240617_O2_200,0.021137217391304322,216.8872364057971,15.690354838709677
RW_PI_16_2_20240617_O2,260,RW_PI_16_2_20240617_O2_260,0.025120807453416435,229.33531679841877,15.86758064516129
RW_PI_16_2_20240617_O2,350,RW_PI_16_2_20240617_O2_350,0.03111758893280629,244.05016699604747,16.049580645161292
RW_PI_16_2_20240617_O2,450,RW_PI_16_2_20240617_O2_450,0.03479407114624486,262.6590833992096,16.17067741935484
RW_PI_16_2_20240617_O2,600,RW_PI_16_2_20240617_O2_600,0.03928766917293218,283.0280416541354,16.20841935483871
RW_PI_16_2_20240617_O2,800,RW_PI_16_2_20240617_O2_800,0.04034796370967748,306.11388429435476,16.30757142857143
RW_PI_16_3_20240617_O2,0,RW_PI_16_3_20240617_O2_0,-0.003373724696356253,179.93642878542508,15.066160714285715
RW_PI_16_3_20240617_O2,100,RW_PI_16_3_20240617_O2_100,0.004524022556390978,175.1985767293233,15.301323529411764
RW_PI_16_3_20240617_O2,150,RW_PI_16_3_20240617_O2_150,0.006771347826086948,178.17055836231884,15.462870967741935
RW_PI_16_3_20240617_O2,200,RW_PI_16_3_20240617_O2_200,0.012060775335775247,182.0000096357347,15.615
RW_PI_16_3_20240617_O2,260,RW_PI_16_3_20240617_O2_260,0.014997811965811852,188.9840756923078,15.767354838709677
RW_PI_16_3_20240617_O2,350,RW_PI_16_3_20240617_O2_350,0.018280153846153828,197.74396292307694,15.920516129032258
RW_PI_16_3_20240617_O2,450,RW_PI_16_3_20240617_O2_450,0.022441323529411836,208.8671645588235,16.011806451612905
RW_PI_16_3_20240617_O2,600,RW_PI_16_3_20240617_O2_600,0.02344374236874242,221.94286394993887,16.022
RW_PI_16_3_20240617_O2,800,RW_PI_16_3_20240617_O2_800,0.024193034055727338,236.77174848641224,16.081028571428572
RW_PI_16_4_20240617_O2,0,RW_PI_16_4_20240617_O2_0,-0.005316518218623435,216.88319587044526,15.207089285714286
RW_PI_16_4_20240617_O2,100,RW_PI_16_4_20240617_O2_100,0.01684928571428572,207.33023642857142,15.403382352941176
RW_PI_16_4_20240617_O2,150,RW_PI_16_4_20240617_O2_150,0.02540315789473671,218.16515473684217,15.579129032258065
RW_PI_16_4_20240617_O2,200,RW_PI_16_4_20240617_O2_200,0.03448959096459091,233.02349392551898,15.757548387096774
RW_PI_16_4_20240617_O2,260,RW_PI_16_4_20240617_O2_260,0.038941357063403806,253.37243795328143,15.939709677419355
RW_PI_16_4_20240617_O2,350,RW_PI_16_4_20240617_O2_350,0.0451530525030525,276.38872199837203,16.142967741935482
RW_PI_16_4_20240617_O2,450,RW_PI_16_4_20240617_O2_450,0.049029853479853364,303.107268884819,16.312290322580644
RW_PI_16_4_20240617_O2,600,RW_PI_16_4_20240617_O2_600,0.04912953846153841,333.55635661538463,16.380935483870967
RW_PI_16_4_20240617_O2,800,RW_PI_16_4_20240617_O2_800,0.04070765104460757,363.75428726708077,16.491714285714284
RW_PI_16_5_20240617_O2,0,RW_PI_16_5_20240617_O2_0,-0.0014780015197568197,216.89785553444779,14.611553571428571
RW_PI_16_5_20240617_O2,100,RW_PI_16_5_20240617_O2_100,5.829365079365139e-4,215.01943293650794,14.963588235294118
RW_PI_16_5_20240617_O2,150,RW_PI_16_5_20240617_O2_150,0.0018375494071146512,215.41973557312247,15.176419354838709
RW_PI_16_5_20240617_O2,200,RW_PI_16_5_20240617_O2_200,0.003449982905982859,216.40720984615393,15.364290322580645
RW_PI_16_5_20240617_O2,260,RW_PI_16_5_20240617_O2_260,0.004217673630717255,218.5211617730095,15.541064516129032
RW_PI_16_5_20240617_O2,350,RW_PI_16_5_20240617_O2_350,0.005665806451612999,221.10945032258056,15.714032258064515
