block,experiment,Species,pH_treatment,temp_treatment,ID,wet_weight,Respiration,Light
S110,2,Rockweed,7.8,16,99,3.7689,2.950668555,17.35345154
S111,2,Rockweed,7.4,20,55,2.1878,5.707021641,11.88805042
S111,2,Rockweed,7.4,20,56,1.4355,4.039015263,9.02928321
S111,2,Rockweed,7.4,20,57,1.9643,4.469814904,11.91303608
S111,2,Rockweed,7.4,20,58,2.8569,3.300461003,25.30090101
S111,2,Rockweed,7.4,20,59,2.6931,5.175546486,21.57710192
S111,2,Rockweed,7.4,20,60,2.5288,3.826490362,9.339044907
S112,2,Rockweed,7.6,16,103,3.3171,4.206490169,22.86739963
S112,2,Rockweed,7.6,16,104,2.7834,3.253164535,11.60382188
S112,2,Rockweed,7.6,16,105,3.1265,3.404065128,20.8810174
S112,2,Rockweed,7.6,16,106,2.505,3.028040186,17.57512463
S112,2,Rockweed,7.6,16,107,3.0669,4.498171027,14.40154794
S112,2,Rockweed,7.6,16,108,2.0152,3.799031222,15.74376844
S113,2,Rockweed,7.7,20,67,1.9329,3.226148093,15.05840203
S113,2,Rockweed,7.7,20,68,2.794,5.608049963,14.68522886
S113,2,Rockweed,7.7,20,69,5.1198,2.464768087,16.474586
S113,2,Rockweed,7.7,20,70,3.2084,4.225590917,22.12890908
S113,2,Rockweed,7.7,20,71,3.0664,5.346131119,16.6939382
S113,2,Rockweed,7.7,20,72,2.6167,4.428079878,11.11716745
S114,2,Rockweed,7.9,16,73,3.5314,3.794824091,17.17364926
S114,2,Rockweed,7.9,16,74,2.6681,4.554039783,14.99615249
S114,2,Rockweed,7.9,16,75,2.0419,4.766034862,17.56608038
S114,2,Rockweed,7.9,16,76,2.6036,3.866468737,12.23356425
S114,2,Rockweed,7.9,16,77,2.6333,5.17232835,23.30569286
S114,2,Rockweed,7.9,16,78,2.0999,2.982805289,23.69946761
S115,2,Rockweed,7.5,16,7,2.6945,5.92741455,10.93934524
S115,2,Rockweed,7.5,16,8,2.5081,5.519183678,7.52238797
S115,2,Rockweed,7.5,16,9,1.7464,5.734602717,22.62683272
S115,2,Rockweed,7.5,16,10,2.6325,4.602798531,29.15966462
S115,2,Rockweed,7.5,16,11,1.1176,6.461895952,11.66991407
S115,2,Rockweed,7.5,16,12,2.9592,3.716791779,16.94661735
S117,2,Rockweed,8,20,79,1.6514,4.220811276,25.67840973
S117,2,Rockweed,8,20,80,2.5054,5.027471658,10.78682855
S117,2,Rockweed,8,20,81,2.561,3.937128763,17.08827467
S117,2,Rockweed,8,20,82,2.7541,3.38754303,23.61835161
S117,2,Rockweed,8,20,83,1.9436,5.60917223,10.85698182
S117,2,Rockweed,8,20,84,2.7762,2.645440354,9.353216491
S118,2,Rockweed,7.3,16,25,4.0731,3.634053689,27.61584216
S118,2,Rockweed,7.3,16,26,2.7718,3.971433895,18.09871997
S118,2,Rockweed,7.3,16,27,1.8366,3.422187677,18.08802943
S118,2,Rockweed,7.3,16,28,3.3274,3.580597854,28.13479802
S118,2,Rockweed,7.3,16,29,2.2729,3.188389878,11.25857104
S118,2,Rockweed,7.3,16,30,2.6583,4.771438524,19.60461407
S119,2,Rockweed,7.3,20,85,3.5815,3.804525233,26.50417473
S119,2,Rockweed,7.3,20,86,2.1645,4.55812495,10.85841014
S119,2,Rockweed,7.3,20,87,3.0734,5.247836215,33.21771119
