FileName,Intercept,umol.L.sec,Temp.C
RW_T1_1_Dark_20240428_O2,229.39144412475633,-0.0036393891890154303,19.559793103448275
RW_T1_1_Light_20240428_O2,241.75765117345398,0.013920289592760184,19.989
RW_T1_2_Dark_20240428_O2,231.87658908579465,-0.0029534317862165847,19.79970114942529
RW_T1_2_Light_20240428_O2,245.67829679374105,0.005219678520625913,20.286290697674417
RW_T1_3_Dark_20240428_O2,231.78588626834377,-0.006016247379454902,19.85941379310345
RW_T1_3_Light_20240428_O2,257.9660465080192,0.01591858261141847,20.142758620689655
RW_T1_4_Dark_20240428_O2,182.35987936262055,-0.003613746380202087,19.627367816091954
RW_T1_4_Light_20240428_O2,195.01161059196605,0.011073763213530702,20.180988372093022
RW_T1_5_Dark_20240428_O2,190.53049060579457,-0.0036784899034240513,19.891701149425288
RW_T1_5_Light_20240428_O2,193.66025491448687,0.00990484406438633,20.167941860465117
RW_T1_6_Dark_20240428_O2,238.58396343856163,-0.004820845898385293,19.74712643678161
RW_T1_6_Light_20240428_O2,255.1122093687902,0.007135225014611336,20.153209302325582
RW_T1_B-Light_20240428_O2,232.6204274870699,-3.569247208487813e-4,19.97670930232558
RW_T1_B_Dark_20240428_O2,230.02188814080648,-4.8451811346546074e-4,19.55341379310345
RW_T2_10_Dark_20240428_O2,222.39925988816745,-0.00394567460317464,19.889333333333333
RW_T2_10_Light_20240428_O2,236.9729948476055,0.010420246734397577,20.423136363636363
RW_T2_11_Dark_20240428_O2,186.84528424718735,-0.0038174818852033856,20.050329545454545
RW_T2_11_Light_20240428_O2,197.04785341287467,0.008094124050200604,20.449375
RW_T2_12_Dark_20240428_O2,242.3393286319929,-0.004221901223776181,20.06390909090909
RW_T2_12_Light_20240428_O2,251.6990040818685,0.017618489824236874,20.486125
RW_T2_7_Dark_20240428_O2,232.07860271710823,-0.003815626072041185,20.100613636363637
RW_T2_7_Light_20240428_O2,255.52143375030028,0.018312900360143974,20.64544318181818
RW_T2_8_Dark_20240428_O2,201.30548505467584,-0.004357944186860274,20.092931818181818
RW_T2_8_Light_20240428_O2,210.98908430015072,0.00988734389140275,20.472488636363636
RW_T2_9_Dark_20240428_O2,237.88144217124503,-0.005413123904149679,20.0025
RW_T2_9_Light_20240428_O2,266.3916409747918,0.03508462650323777,20.639863636363636
RW_T2_B_Dark_20240428_O2,188.66774963348885,-5.511703486387304e-5,19.992306818181817
RW_T2_B_Light_20240428_O2,189.08846749926533,-3.5789009697324105e-4,20.507329545454546
RW_T4_19_Dark_20240428_O2,185.03983639166097,-0.0034612720437457336,20.01475268817204
