date,experiment,ID,tank,sample_type,TA,water_mass,
20240717,b,t14_blank,14,Blank,2344.174483,60.0909,20
20240717,b,t2_initial_1,2,Initial,2335.884154,60.3236,
20240717,b,t2_initial_2,2,Initial,2334.641765,59.7441,
20240717,b,t3_initial_1,3,Initial,2345.145222,59.6999,
20240717,b,t3_initial_2,3,Initial,2332.378954,60.396,
20240717,b,t3_initial_3,3,Initial,2338.989389,59.7486,
20240717,b,t4_initial_1,4,Initial,2339.243329,60.2847,
20240717,b,t4_initial_2,4,Initial,2343.178787,60.1003,
20240717,b,t7_initial_1,7,Initial,2351.686777,59.7318,
20240717,b,t7_initial_2,7,Initial,2347.421121,59.9596,
20240717,b,t8_initial_1,8,Initial,2342.551268,59.6585,
20240717,b,t8_initial_3,8,Initial,2352.918554,60.2134,
20240717,b,t10_initial_2,10,Initial,2336.046607,60.2277,
20240717,b,t10_initial_3,10,Initial,2330.218003,59.765,
20240717,b,t14_initial_1,14,Initial,2344.100391,59.8483,
20240717,b,t14_initial_3,14,Initial,2359.384803,59.7295,
20240717,b,51,2,,2338.139527,59.6449,
20240717,b,60,2,,2329.899947,60.3288,
20240717,b,64,2,,2347.753772,60.1566,
20240717,b,49,3,,2375.702425,59.6598,
20240717,b,52,3,,2367.690756,60.1568,
20240717,b,59,3,,2360.351895,60.3394,
20240717,b,2,4,,2277.822698,59.7292,
20240717,b,23,4,,2322.675067,59.8205,
20240717,b,69,4,,2293.861358,60.3254,
20240717,b,53,7,,2347.681489,59.9686,
20240717,b,54,7,,2351.026262,60.2825,
20240717,b,58,7,,2352.644312,60.3235,
20240717,b,20,8,,2335.13432,59.8654,
20240717,b,43,8,,2346.409646,60.2276,
20240717,b,1,10,,2351.010892,59.6902,
20240717,b,48,10,,2356.693942,59.7677,
20240717,b,65,10,,2331.021064,59.9426,
20240717,b,17,14,,2304.518499,60.4389,
20240717,b,50,14,,2236.855508,59.6175,
20240717,b,63,14,,2342.341464,60.1209,
20240719,b,t11_blank,11,Blank,2343.069624,59.6823,16
20240719,b,t13_blank,13,Blank,2343.069624,59.9479,16
20240719,b,t17_blank,17,Blank,2343.069624,60.3162,16
20240719,b,t18_blank,18,Blank,2343.069624,59.929,16
20240719,b,t11_initial_1,11,Initial,2339.521744,59.9444,
20240719,b,t11_initial_2,11,Initial,2341.392353,59.9249,
20240719,b,t13_initial_1,13,Initial,2346.872061,59.9761,
20240719,b,t13_initial_3,13,Initial,2346.421308,59.6943,
20240719,b,t17_initial_1,17,Initial,2315.41905,60.2866,
20240719,b,t17_initial_3,17,Initial,2321.249187,60.3414,
20240719,b,t18_initial_1,18,Initial,2335.712664,60.3223,
20240719,b,t18_initial_2,18,Initial,2347.574958,60.1135,
20240719,b,t18_initial_3,18,Initial,2345.39462,59.8865,
20240719,b,9,11,,2362.199195,59.8542,
20240719,b,22,11,,2369.978736,59.6538,
20240719,b,24,11,,2370.326147,60.0327,
20240719,b,40,13,,2343.084892,59.9314,
20240719,b,56,13,,2332.397182,60.0856,
20240719,b,68,13,,2337.51043,59.906,
20240719,b,15,17,,2349.654151,60.2525,
20240719,b,34,17,,2342.957901,60.4294,
20240719,b,44,17,,2343.476195,59.781,
20240719,b,31,18,,2338.904224,59.8892,
20240719,b,36,18,,2353.794372,59.8953,
20240719,b,38,18,,2341.608508,59.9217,
20240722,b,t1_blank,1,Blank,2343.069624,59.7273,16
20240722,b,t5_blank,5,Blank,2343.069624,60.4187,16
20240722,b,t6_blank,6,Blank,2343.069624,60.0217,16
20240722,b,t19_blank,19,Blank,2343.069624,60.4509,16
20240722,b,t1_initial_1,1,Initial,2346.627629,59.921,
20240722,b,t1_initial_2,1,Initial,2347.512361,60.142,
20240722,b,t1_initial_3,1,Initial,2344.235727,59.7994,
20240722,b,t5_initial_2,5,Initial,2347.612509,60.2848,
20240722,b,t5_initial_3,5,Initial,2341.957466,60.3865,
20240722,b,t6_initial_1,6,Initial,2340.339068,60.4388,
20240722,b,t6_initial_2,6,Initial,2334.455235,60.4096,
20240722,b,t19_initial_1,19,Initial,2344.521569,60.1062,
20240722,b,t19_initial_2,19,Initial,2341.356334,59.954,
20240722,b,t19_initial_3,19,Initial,2334.566766,60.4747,
20240722,b,26,1,,2347.881743,60.3718,
20240722,b,41,1,,2346.893473,59.9167,
20240722,b,42,1,,2359.953884,59.9939,
20240722,b,19,5,,2373.855171,59.9377,
20240722,b,21,5,,2370.777261,60.2943,
20240722,b,37,5,,2358.044079,59.9854,
20240722,b,5,6,,2353.363329,60.2042,
20240722,b,25,6,,2346.205617,59.9169,
20240722,b,45,6,,2348.132671,60.3853,
20240722,b,57,19,,2348.124754,59.7487,
20240722,b,67,19,,2355.537827,60.3155,
