pi curve,weight,temperature
1,1.6879,20
2,0.5420,20
3,0.7419,20
4,0.9185,20
5,0.8009,20
6,0.4305,20
1,1.1605,16
2,1.4595,16
3,1.2589,16
4,0.9014,16
5,0.4002,16
6,1.2245,16
